word	instruction	tone	response
XXXXXXX	cf	lo.wav	f
XXXX	cf	lo.wav	f
XXXXXX	cf	lo.wav	f
XXXXX	cr	hi.wav	f
XXXXXXXX	cr	hi.wav	f
XXXXXXX	cf	lo.wav	f
WRITING	r	hi.wav	f
GRADIENT	r	hi.wav	f
ELBOW	f	lo.wav	f
XXXXX	cf	lo.wav	f
GHOST	f	lo.wav	f
XXXX	cr	hi.wav	f
NOISE	r	hi.wav	f
LENS	r	hi.wav	f
KINGDOM	f	lo.wav	f
KITCHEN	r	hi.wav	f
CANDY	r	hi.wav	f
XXXXXX	cf	lo.wav	f
OCCASION	f	lo.wav	f
NEUTRAL	f	lo.wav	f
TALK	f	lo.wav	f
EDITION	r	hi.wav	f
OPPONENT	f	lo.wav	f
XXXXXX	cf	lo.wav	f
ILLUSION	f	lo.wav	f
XXXXXX	cr	hi.wav	f
UTILITY	f	lo.wav	f
XXXX	cr	hi.wav	f
MORAL	f	lo.wav	f
XXXXX	cr	hi.wav	f
XXXXX	cf	lo.wav	f
XXXXXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
GENIUS	r	hi.wav	f
FAIR	f	lo.wav	f
XXXX	cf	lo.wav	f
INFANT	r	hi.wav	f
XXXX	cr	hi.wav	f
XXXXX	cf	lo.wav	f
CAREER	r	hi.wav	f
VICTORY	f	lo.wav	f
DEAL	r	hi.wav	f
XXXX	cf	lo.wav	f
XXXXX	cr	hi.wav	f
OPERA	f	lo.wav	f
XXXX	cf	lo.wav	f
CURRENT	f	lo.wav	f
XXXXXXX	cr	hi.wav	f
INTERVAL	r	hi.wav	f
XXXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
XXXXXX	cr	hi.wav	f
JUMP	r	hi.wav	f
XXXXX	cf	lo.wav	f
AMOUNT	f	lo.wav	f
XXXXXXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
ADDITION	f	lo.wav	f
XXXX	cr	hi.wav	f
DECADE	r	hi.wav	f
NAME	f	lo.wav	f
XXXXX	cr	hi.wav	f
FRUIT	f	lo.wav	f
PASSION	r	hi.wav	f
XXXXXXX	cr	hi.wav	f
XXXX	cf	lo.wav	f
XXXXXX	cf	lo.wav	f
XXXXXXX	cr	hi.wav	f
CURRENCY	f	lo.wav	f
XXXXX	cr	hi.wav	f
XXXXXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
XXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
GLOBE	f	lo.wav	f
XXXXX	cf	lo.wav	f
XXXXXX	cf	lo.wav	f
MONUMENT	f	lo.wav	f
XXXXXXXX	cf	lo.wav	f
XXXXXX	cr	hi.wav	f
XXXXXXXX	cr	hi.wav	f
XXXXXX	cr	hi.wav	f
FRAME	r	hi.wav	f
LIFT	f	lo.wav	f
HAIL	r	hi.wav	f
XXXX	cf	lo.wav	f
GIANT	r	hi.wav	f
NEST	r	hi.wav	f
MOUTH	r	hi.wav	f
XXXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
XXXXX	cr	hi.wav	f
XXXXXXX	cf	lo.wav	f
UPRIGHT	r	hi.wav	f
GOLF	f	lo.wav	f
XXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
LACK	f	lo.wav	f
XXXX	cr	hi.wav	f
XXXXXXXX	cf	lo.wav	f
XXXXXXX	cr	hi.wav	f
XXXXXXXX	cr	hi.wav	f
DEBATE	r	hi.wav	f
XXXXX	cf	lo.wav	f
VENT	f	lo.wav	f
XXXX	cf	lo.wav	f
XXXXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
XXXXX	cf	lo.wav	f
XXXXXXXX	cf	lo.wav	f
XXXXXXX	cr	hi.wav	f
ONSET	f	lo.wav	f
MOVE	r	hi.wav	f
XXXX	cf	lo.wav	f
IMPACT	f	lo.wav	f
XXXX	cf	lo.wav	f
RAKE	r	hi.wav	f
XXXXX	cr	hi.wav	f
XXXXXX	cr	hi.wav	f
ORDER	r	hi.wav	f
