word	instruction	tone	response
XXXXXXX	cr	lo.wav	j
DEAN	f	hi.wav	j
XXXXXXXX	cr	lo.wav	j
VECTOR	r	lo.wav	j
NARROW	r	lo.wav	j
EDGE	f	hi.wav	j
INTERVAL	f	hi.wav	j
XXXX	cf	hi.wav	j
LAUNCH	r	lo.wav	j
XXXXX	cr	lo.wav	j
GOSPEL	r	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
ZONE	r	lo.wav	j
XXXXXX	cr	lo.wav	j
XXXXXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
RAID	f	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXXXXX	cr	lo.wav	j
JACKET	r	lo.wav	j
XXXXXXX	cf	hi.wav	j
XXXXXXX	cf	hi.wav	j
LAWYER	f	hi.wav	j
XXXX	cf	hi.wav	j
XXXXXXX	cr	lo.wav	j
PASSION	f	hi.wav	j
HAIR	r	lo.wav	j
XXXXXX	cr	lo.wav	j
XXXXXXXX	cf	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXXXXXX	cf	hi.wav	j
XXXXXX	cr	lo.wav	j
LEMON	f	hi.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
CURSE	r	lo.wav	j
PATROL	f	hi.wav	j
CANDY	f	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXXX	cr	lo.wav	j
JURY	r	lo.wav	j
VARIABLE	r	lo.wav	j
TACKLE	r	lo.wav	j
XXXX	cf	hi.wav	j
GIANT	f	hi.wav	j
GAZE	f	hi.wav	j
EDITION	f	hi.wav	j
RAKE	f	hi.wav	j
VACUUM	r	lo.wav	j
LEISURE	f	hi.wav	j
XXXXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXXXXX	cf	hi.wav	j
XXXX	cr	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
LENS	f	hi.wav	j
XXXXXX	cf	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
WORD	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
NARRATOR	f	hi.wav	j
LAWN	r	lo.wav	j
CREW	r	lo.wav	j
CURTAIN	f	hi.wav	j
XXXXX	cr	lo.wav	j
GENERAL	r	lo.wav	j
GRADE	f	hi.wav	j
XXXX	cf	hi.wav	j
NEON	r	lo.wav	j
XXXXX	cr	lo.wav	j
ISLAND	r	lo.wav	j
XXXX	cr	lo.wav	j
XXXXXX	cr	lo.wav	j
XXXX	cf	hi.wav	j
RAGE	r	lo.wav	j
XXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
WRONG	r	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
UPPER	r	lo.wav	j
RADICAL	r	lo.wav	j
JUICE	r	lo.wav	j
NEST	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
DEBATE	f	hi.wav	j
MOVE	f	hi.wav	j
DELAY	r	lo.wav	j
NOISE	f	hi.wav	j
INDEX	r	lo.wav	j
PASTE	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
MYTH	f	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
XXXX	cf	hi.wav	j
XXXX	cr	lo.wav	j
XXXXXXXX	cr	lo.wav	j
PAPER	r	lo.wav	j
YEAR	r	lo.wav	j
PASS	r	lo.wav	j
XXXXXX	cr	lo.wav	j
HAIL	f	hi.wav	j
XXXX	cr	lo.wav	j
KITCHEN	f	hi.wav	j
JEAN	f	hi.wav	j
XXXX	cr	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
GRADIENT	f	hi.wav	j
XXXXXXXX	cf	hi.wav	j
SWIFT	f	hi.wav	j
XXXXXXXX	cf	hi.wav	j
GAIN	r	lo.wav	j
XXXX	cf	hi.wav	j
ORDER	f	hi.wav	j
ABSTRACT	r	lo.wav	j
ACADEMY	f	hi.wav	j
XXXXXX	cr	lo.wav	j
XXXXXXX	cr	lo.wav	j
XXXXXXX	cr	lo.wav	j
GOWN	f	hi.wav	j
XXXX	cr	lo.wav	j
ZINC	r	lo.wav	j
DEPTH	r	lo.wav	j
XXXXX	cr	lo.wav	j
SURPRISE	r	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXXXX	cf	hi.wav	j
XXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
XXXX	cr	lo.wav	j
SYMPHONY	r	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
DIAGRAM	f	hi.wav	j
GRAPH	f	hi.wav	j
XXXX	cr	lo.wav	j
NEWS	f	hi.wav	j
XXXXXXX	cr	lo.wav	j
REAL	f	hi.wav	j
ELITE	r	lo.wav	j
CURVE	r	lo.wav	j
XXXX	cr	lo.wav	j
MUSCLE	f	hi.wav	j
XXXX	cf	hi.wav	j
JOURNEY	r	lo.wav	j
QUOTE	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
OBJECT	r	lo.wav	j
DESIGN	r	lo.wav	j
DECADE	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
ANIMAL	f	hi.wav	j
FRAME	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
URGENCY	r	lo.wav	j
LEAGUE	r	lo.wav	j
TABLE	r	lo.wav	j
VARIETY	f	hi.wav	j
FUND	r	lo.wav	j
JUNGLE	r	lo.wav	j
CUSTOMER	f	hi.wav	j
