word	instruction	tone	response
XXXXX	cr	lo.wav	j
EDGE	f	hi.wav	j
CURVE	r	lo.wav	j
XXXXXXX	cr	lo.wav	j
XXXX	cf	hi.wav	j
GRAPH	f	hi.wav	j
RADIO	r	lo.wav	j
XXXXXX	cr	lo.wav	j
LAUNCH	r	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXX	cr	lo.wav	j
GOSPEL	r	lo.wav	j
LAWYER	f	hi.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
XXXX	cf	hi.wav	j
NOISE	f	hi.wav	j
PASTE	f	hi.wav	j
XXXXX	cf	hi.wav	j
JEAN	f	hi.wav	j
XXXXXXX	cr	lo.wav	j
UPRIGHT	f	hi.wav	j
XXXXXXXX	cr	lo.wav	j
CURTAIN	f	hi.wav	j
XXXX	cr	lo.wav	j
DEAL	f	hi.wav	j
XXXXX	cr	lo.wav	j
ELITE	r	lo.wav	j
XXXXXXX	cr	lo.wav	j
PASSION	f	hi.wav	j
NEWS	f	hi.wav	j
VARIABLE	r	lo.wav	j
XXXXXX	cr	lo.wav	j
XXXXXX	cr	lo.wav	j
GAIN	r	lo.wav	j
GAZE	f	hi.wav	j
VECTOR	r	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXXXXX	cr	lo.wav	j
JAIL	r	lo.wav	j
LEAD	r	lo.wav	j
XXXX	cr	lo.wav	j
EDITION	f	hi.wav	j
ORDER	f	hi.wav	j
LENS	f	hi.wav	j
HARVEST	f	hi.wav	j
DESTINY	r	lo.wav	j
XXXXXXX	cf	hi.wav	j
DEPOT	f	hi.wav	j
XXXX	cr	lo.wav	j
QUESTION	f	hi.wav	j
XXXXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
TACKLE	r	lo.wav	j
XXXXXXXX	cr	lo.wav	j
XXXXXXX	cr	lo.wav	j
XXXXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
XXXX	cf	hi.wav	j
WOOD	r	lo.wav	j
XXXXXXX	cf	hi.wav	j
IDEAL	r	lo.wav	j
XXXXX	cr	lo.wav	j
XXXXX	cr	lo.wav	j
DECADE	f	hi.wav	j
WORD	f	hi.wav	j
NEST	f	hi.wav	j
XXXX	cf	hi.wav	j
XXXXX	cr	lo.wav	j
WRONG	r	lo.wav	j
XXXXXX	cr	lo.wav	j
LEISURE	f	hi.wav	j
XXXX	cf	hi.wav	j
XXXX	cr	lo.wav	j
XXXXXXX	cf	hi.wav	j
XXXXXX	cf	hi.wav	j
QUEEN	r	lo.wav	j
RADICAL	r	lo.wav	j
XXXXX	cf	hi.wav	j
XXXXX	cf	hi.wav	j
XXXX	cr	lo.wav	j
INDEX	r	lo.wav	j
FRONT	f	hi.wav	j
