word	instruction	tone	response
JOURNAL	f	lo.wav	f
SWIFT	r	hi.wav	f
IRONY	f	lo.wav	f
XXXX	cf	lo.wav	f
SYSTEM	f	lo.wav	f
PASSION	r	hi.wav	f
XXXXXXXX	cr	hi.wav	f
XXXX	cf	lo.wav	f
NEST	r	hi.wav	f
PROSE	f	lo.wav	f
XXXX	cf	lo.wav	f
XXXXXXX	cf	lo.wav	f
GANG	f	lo.wav	f
ADVICE	f	lo.wav	f
DIAGRAM	r	hi.wav	f
GRADIENT	r	hi.wav	f
XXXX	cr	hi.wav	f
XXXXXX	cf	lo.wav	f
QUESTION	r	hi.wav	f
INCH	f	lo.wav	f
LENS	r	hi.wav	f
XXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
GIANT	r	hi.wav	f
XXXXXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
TALK	f	lo.wav	f
XXXXXX	cf	lo.wav	f
LIFT	f	lo.wav	f
XXXXX	cf	lo.wav	f
XXXXXXXX	cf	lo.wav	f
XXXXXXXX	cf	lo.wav	f
XXXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
DEPOT	r	hi.wav	f
INTERVAL	r	hi.wav	f
MYTH	r	hi.wav	f
KINGDOM	f	lo.wav	f
LEMON	r	hi.wav	f
PATROL	r	hi.wav	f
XXXXXXX	cr	hi.wav	f
XXXXXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
XXXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
OPINION	f	lo.wav	f
FRONT	r	hi.wav	f
XXXXXX	cr	hi.wav	f
XXXXX	cr	hi.wav	f
CROP	f	lo.wav	f
XXXX	cr	hi.wav	f
ACID	r	hi.wav	f
WORD	r	hi.wav	f
EDGE	r	hi.wav	f
VARIETY	r	hi.wav	f
XXXXXXX	cr	hi.wav	f
DEBATE	r	hi.wav	f
XXXXXXX	cf	lo.wav	f
FRAME	r	hi.wav	f
QUICK	f	lo.wav	f
NEUTRAL	f	lo.wav	f
XXXXXXX	cr	hi.wav	f
XXXXXX	cf	lo.wav	f
XXXXXX	cr	hi.wav	f
TALENT	f	lo.wav	f
MORAL	f	lo.wav	f
XXXX	cf	lo.wav	f
DEAN	r	hi.wav	f
MYSTERY	f	lo.wav	f
XXXXXXXX	cf	lo.wav	f
FUTURE	r	hi.wav	f
UNIT	f	lo.wav	f
XXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
GAZE	r	hi.wav	f
XXXXXXX	cr	hi.wav	f
XXXXXXXX	cr	hi.wav	f
JUMP	r	hi.wav	f
EQUAL	f	lo.wav	f
UPSET	f	lo.wav	f
XXXXXXXX	cf	lo.wav	f
LAUGH	f	lo.wav	f
CUSTOMER	r	hi.wav	f
RADAR	r	hi.wav	f
XXXX	cr	hi.wav	f
EDITION	r	hi.wav	f
XXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
RAID	r	hi.wav	f
XXXX	cr	hi.wav	f
DEBT	f	lo.wav	f
XXXXXXXX	cr	hi.wav	f
XXXXXXX	cf	lo.wav	f
XXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
OCCASION	f	lo.wav	f
QUOTE	r	hi.wav	f
XXXXXXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
ACADEMY	r	hi.wav	f
LENGTH	f	lo.wav	f
XXXXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
GHOST	f	lo.wav	f
XXXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
ONSET	f	lo.wav	f
OPERA	f	lo.wav	f
XXXXXXXX	cr	hi.wav	f
XXXXXX	cr	hi.wav	f
XXXXXX	cr	hi.wav	f
GOLF	f	lo.wav	f
RAIL	f	lo.wav	f
XXXXXX	cr	hi.wav	f
KITCHEN	r	hi.wav	f
XXXXXX	cr	hi.wav	f
UPRIGHT	r	hi.wav	f
XXXXXXXX	cf	lo.wav	f
MONUMENT	f	lo.wav	f
VICTORY	f	lo.wav	f
RAKE	r	hi.wav	f
OPPONENT	f	lo.wav	f
XXXX	cf	lo.wav	f
XXXXXXX	cf	lo.wav	f
YARD	f	lo.wav	f
XXXX	cr	hi.wav	f
XXXXXXX	cf	lo.wav	f
XXXXXXX	cr	hi.wav	f
XXXXXX	cf	lo.wav	f
LACK	f	lo.wav	f
XXXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
ITEM	f	lo.wav	f
HAIL	r	hi.wav	f
XXXX	cr	hi.wav	f
CURRENT	f	lo.wav	f
XXXX	cf	lo.wav	f
XXXXXXXX	cf	lo.wav	f
FAIR	f	lo.wav	f
NEWS	r	hi.wav	f
CURRENCY	f	lo.wav	f
IMPACT	f	lo.wav	f
XXXX	cr	hi.wav	f
DECADE	r	hi.wav	f
DEAR	f	lo.wav	f
NARRATOR	r	hi.wav	f
XXXX	cr	hi.wav	f
MOUTH	r	hi.wav	f
XXXXX	cr	hi.wav	f
XXXX	cf	lo.wav	f
XXXXXXX	cf	lo.wav	f
XXXX	cf	lo.wav	f
MOVE	r	hi.wav	f
XXXX	cf	lo.wav	f
VENT	f	lo.wav	f
XXXXX	cf	lo.wav	f
AMOUNT	f	lo.wav	f
JUSTICE	f	lo.wav	f
UTILITY	f	lo.wav	f
WRITING	r	hi.wav	f
GEAR	f	lo.wav	f
XXXXXXX	cf	lo.wav	f
XXXXX	cr	hi.wav	f
XXXXX	cr	hi.wav	f
ADDITION	f	lo.wav	f
XXXXX	cr	hi.wav	f
XXXXX	cr	hi.wav	f
REAL	r	hi.wav	f
XXXX	cf	lo.wav	f
XXXXX	cr	hi.wav	f
XXXXX	cr	hi.wav	f
PASTE	r	hi.wav	f
XXXX	cr	hi.wav	f
DEAL	r	hi.wav	f
XXXXXX	cr	hi.wav	f
CANDY	r	hi.wav	f
MUSCLE	r	hi.wav	f
JOKE	f	lo.wav	f
XXXXX	cr	hi.wav	f
ORDER	r	hi.wav	f
XXXXXXX	cr	hi.wav	f
XXXXXX	cr	hi.wav	f
GATE	f	lo.wav	f
CAREER	r	hi.wav	f
LAWYER	r	hi.wav	f
ILLUSION	f	lo.wav	f
ELBOW	f	lo.wav	f
XXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
NOISE	r	hi.wav	f
XXXXX	cr	hi.wav	f
XXXX	cf	lo.wav	f
GOWN	r	hi.wav	f
GRAB	f	lo.wav	f
XXXXXXX	cr	hi.wav	f
XXXXXXX	cr	hi.wav	f
XXXXXX	cr	hi.wav	f
GLOBE	f	lo.wav	f
ELEVATOR	f	lo.wav	f
XXXX	cf	lo.wav	f
