word	instruction	tone	response
XXXXXX	cf	lo.wav	f
WINDOW	r	hi.wav	f
INCOME	r	hi.wav	f
XXXXX	cf	lo.wav	f
XXXXX	cr	hi.wav	f
XXXXX	cf	lo.wav	f
URGENCY	f	lo.wav	f
XXXXXX	cr	hi.wav	f
XXXXXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
XXXXXX	cf	lo.wav	f
XXXXXXX	cf	lo.wav	f
XXXXXXX	cf	lo.wav	f
XXXXXX	cf	lo.wav	f
XXXXXX	cf	lo.wav	f
TEACHER	r	hi.wav	f
JUICE	f	lo.wav	f
GRADUATE	r	hi.wav	f
ONION	r	hi.wav	f
XXXXXX	cf	lo.wav	f
WISE	r	hi.wav	f
XXXXXX	cr	hi.wav	f
XXXX	cf	lo.wav	f
VERSE	f	lo.wav	f
XXXXXX	cf	lo.wav	f
XXXXXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
ELITE	f	lo.wav	f
INDEX	f	lo.wav	f
XXXXX	cf	lo.wav	f
GROUND	r	hi.wav	f
XXXXXX	cf	lo.wav	f
GENERAL	f	lo.wav	f
XXXXXX	cf	lo.wav	f
JURY	f	lo.wav	f
OBJECT	f	lo.wav	f
WRONG	f	lo.wav	f
JACKET	f	lo.wav	f
JEEP	r	hi.wav	f
CURSE	f	lo.wav	f
NECK	r	hi.wav	f
ABSTRACT	f	lo.wav	f
XXXXXX	cr	hi.wav	f
XXXXX	cr	hi.wav	f
XXXXX	cr	hi.wav	f
VEHICLE	r	hi.wav	f
XXXXXX	cr	hi.wav	f
XXXXXX	cf	lo.wav	f
SYMPHONY	f	lo.wav	f
XXXXXXX	cr	hi.wav	f
XXXX	cf	lo.wav	f
XXXXXX	cr	hi.wav	f
XXXXXX	cf	lo.wav	f
XXXXX	cr	hi.wav	f
XXXXXX	cf	lo.wav	f
XXXXX	cf	lo.wav	f
CREST	r	hi.wav	f
TABLE	f	lo.wav	f
XXXXXXX	cr	hi.wav	f
XXXX	cr	hi.wav	f
HANDLE	f	lo.wav	f
QUALITY	r	hi.wav	f
XXXXX	cr	hi.wav	f
XXXXX	cf	lo.wav	f
XXXXXX	cr	hi.wav	f
TANK	f	lo.wav	f
XXXX	cf	lo.wav	f
XXXX	cf	lo.wav	f
XXXX	cr	hi.wav	f
XXXXX	cf	lo.wav	f
NERVE	r	hi.wav	f
QUEEN	f	lo.wav	f
ZONE	f	lo.wav	f
